,name,link,price,price_original
0,Intel Core i3-12100 3.3GHz Up To 4.3GHz Processor Intel Socket 1700 - Resmi,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_KRHpHNHpedbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6AJNH_ypH_yDUMoFyaUEop1Fbm-FQRo2PcB5QiUEHZFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEoiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAUN6ZFp6_eh9ZFiQBYsy3Njq3zxPcuwy3zpUstfbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sHRoadf6A1NHpUpos1foprdomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3Oo8jOku9BvucWd_VPz8VBk39z6z71p_BHFo1Ok3_zHu71O_32oHO2J392oqBjp33B-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8BxE__u6zJydgjPR83-I6_oMZIxp_uPdPMep8AxsHO-7gjxdqBB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_-oq_e7_7zuoJO1ypz6uJOE_32SP7NAZ9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk_9xo1peh_92o8jNkz_uo8j77_92uH7N_Zsjibm-sQIupPcua9fBj9RyaUstOH_rdoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpj7HZUDUsHN6_ji9ZFirI-2yfuwyMBjUstRo_nDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEoAHRbsUOH_HdH_jpH_yN6AHDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXHseFoAUpH_KpoA1ao_KRopoY?pub_domain=0&src=search&is_search=1&keywords=processor+i3&r=https%3A%2F%2Fwww.tokopedia.com%2Ftonixcomp%2Fintel-core-i3-12100-3-3ghz-up-to-4-3ghz-processor-intel-socket-1700-resmi%3FextParam%3Divf%253Dfalse%26src%3Dtopads&pub_unit=0&dv=desktop&t=desktop&management_type=1&page=3&ob=23&pub_id=0,2055000,2232000
1,Intel Core i3 12100 4 Core 8 Thread LGA1700 AlderLake Processor 12100,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_yFHp1No_Jfbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6AJNH_ypH_yDUMoFyaUEosnFbm-FQRo2PcB5QiUEHiFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEoiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAUN6ZFp6_eh9ZFiQBYsy3Njq3zxPcuwy3zpUstfbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sHaoadpHAJR6_1FHpnpHsJpbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Q1OE_32u81Y1qRxHuOVd332gPJNIz_o61pnO_32goJh9z_uoqj7p3jzg8jOk3_ogq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PE3I2oo1NJzsxMzRPNyjrNHfgU8IoouRxfgAod6cHp1SzMZIxk33B-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-HjN2oAooqBJp_32CH1NE392oucoE_jo-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-HjY_oAu68BVd_32oH1Nk__oo8jO2gBJYvZUDUMoDP9o7g9-wq3zwPsUi6se7oAKObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_ehUiFiHpjN6Z-Pbm-SrMYOrVYpPI-xPcuS8ZUE3pJDHB7DUSCaq3oB9f-2gmUEosnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6sHOoidd6_H76_UNo_rhoprDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXH_UF6AUaHAjpopJp6_HpHpgY?management_type=1&pub_unit=0&pub_domain=0&src=search&pub_id=0&keywords=processor+i3&dv=desktop&is_search=1&t=desktop&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fanandamcomputer%2Fintel-core-i3-12100-4-core-8-thread-lga1700-alderlake-processor-12100%3FextParam%3Divf%253Dfalse%26src%3Dtopads&page=3,2079000,2079000
2,Intel Core i3 13100 - 4 Core 8 Threads 4.50GHz Processor,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_KN6AjOHsrdbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6AJNH_ypH_yDUMoFyaUEosnFbm-FQRo2PcB5QiUEHaFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEoiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAUN6ZFp6_eh9ZFiQBYsy3Njq3zxPcuwy3zpUstfbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sHhomdOosH76_rNoAKfosjhbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Q1OE_32u81Y1qRxHuOVd332gPJNIz_o61pnO_32goJh9z_uoqj7p3jzg8jOk3_ogq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PE3I2oo1NJzsxMzRPNyjrNHfgU8IoouRxfgAod6cHp1SzMZIxk33B-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-HjN_oAz6qBBN_uzuP7O1z_uoqMDF_MB-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-H1Y_oAC6qBjO_M2SoJNE1_uozcrhZ3dFvZUDUMoDP9o7g9-wq3zwPsUi6se7oAKObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_ehUiFiHpjN6Z-Pbm-SrMYOrVYpPI-xPcuS8ZUE3pJDHB7DUSCaq3oB9f-2gmUEosnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6sH7HZdRoArRHsy7osH7HpyDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXH_Ja6AHRopKhH_jaHsjFo_VY?src=search&t=desktop&dv=desktop&management_type=1&pub_domain=0&pub_unit=0&keywords=processor+i3&page=3&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fanandamcomputer%2Fintel-core-i3-13100-4-core-8-threads-4-50ghz-processor%3FextParam%3Divf%253Dfalse%26src%3Dtopads&pub_id=0&ob=23,2527000,2527000
3,Intel Core i5 13500 - Cache 24MB| Processor Intel Socket LGA 1700,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_Kp6A1popH7bm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6AJNH_ypH_yDUMoFyaUEop1Fbm-FQRo2PcB5QiUEomFiy3hSUstiy3h79fWB89P5rMzwgcuMy9uDPmUDUMNOQ3-BrBY5gBYxgIHi6syDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFa6_jDHpj7Hu7DUMNwyfVXgcBjy9zB9fVjraUEoiFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUsthoAjdbsUhHAHDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BRZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBW_92oqBuN_Oz08Jh919xgqBB7_jPVH7N_HAuoqBj7_VPVo1Ok__oqzVBE_32gHOB2Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPR2y8j7O_jzc6cgIPRBizpjpgjxdr7O98IgjHRKdypoZPcgU8c2gq1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjja_9j7H1Y1Z9BozVJO_Bz08jN1ypC617BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qj7F_uH7o1OEgRB6uVBR_BzSP7YJypo617tNUiFiyfhOrRzBrBY2gVYfHiUEo_JR6AyDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHNoAJibmUp6_jNUB7DUMVDPcuaQMV7guY0g9BRQR-jUstirI-5yfuprfYaUcBXPcuDUcjOUiFirI-2yfuwyMBjUstRo_nDUMP5y3hwq3ei6sUDUMDaqOYjq9o7y3NsguYpyfYagZUEHmdFo_jRHAKaH_JOopnNopKhos1DUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEH_rRoiddoArhoArdHpJaHAr7bm-hP3ua8uYag3hay3N09RosQR-BUstFbsUNosjO6_1NoAeN6_JaosPY?ob=23&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ftonixcomp%2Fintel-core-i5-13500-cache-24mb-processor-intel-socket-lga-1700%3FextParam%3Divf%253Dfalse%26src%3Dtopads&pub_domain=0&dv=desktop&pub_id=0&keywords=processor+i3&src=search&pub_unit=0&is_search=1&page=3&management_type=1,4199999,4500000
4,Intel Core i5 12400 Box 2.5GHz LGA1700 Processor Alder Lake,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_eRoAnao_Kfbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6AJNH_ypH_yDUMoFyaUEosnFbm-FQRo2PcB5QiUEoZFiy3hSUstiy3h79fWB89P5rMzwgcuMy9uDPmUDUMNOQ3-BrBY5gBYxgIHi6syDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFa6_jDHpj7Hu7DUMNwyfVXgcBjy9zB9fVjraUEoiFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUsthHpyObsyFH_yDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BRZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBW_92oqBuN_Oz08Jh919xgqBB7_jPVH7N_HAuoqBj7_VPVo1Ok__oqzVBE_32gHOB2Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPR2y8j7O_jzc6cgIPRBizpjpgjxdr7O98IgjHRKdypoZPcgU8c2gq1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjja_Sj7P7NJu_V68BBd_OzV81Y1e_--q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBo8jud_c2gH7OkgRP6uJjO_92oH7YJ13BM1_7YUiFiyfhOrRzBrBY2gVYfHiUEHseO6_rDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHNoAJibmUp6_jNUB7DUMVDPcuaQMV7guY0g9BRQR-jUstirI-5yfuprfYaUcBXPcuDUcjOUiFigR-5P9CwrRzay9zBgRji6BDhbA-Pbm-FrMBsguYiq3ei6syFHmFigfYxQVY2gmUEHiFiqp-09fz2rRzxQMoB9RosQR-BUstFbsnO6_rF6AUhH_1RHAjR6AJfoZFigMBXy3hwrMuDrMVXqOYxgIosQR-BUsthoAyNbsyF6_1NHAyNoA1RHpyDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXHAjaHpUOo_UOo_HpHpUpH97?keywords=processor+i3&r=https%3A%2F%2Fwww.tokopedia.com%2Fanandamcomputer%2Fintel-core-i5-12400-box-2-5ghz-lga1700-processor-alder-lake%3FextParam%3Divf%253Dfalse%26src%3Dtopads&is_search=1&ob=23&dv=desktop&page=3&management_type=1&t=desktop&pub_unit=0&pub_domain=0&src=search&pub_id=0,2974000,2974000
5,Processor Intel Core i3 13100F 3.40GHZ 4 CORE 8 THREADS RAPTOR LAKE -,https://www.tokopedia.com/komputermedan/processor-intel-core-i3-13100f-3-40ghz-4-core-8-threads-raptor-lake?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,2054900,2054900
6,Processor intel Core i3 4160 Ghz tray LGA 1150 + Fan,https://www.tokopedia.com/fjcom/processor-intel-core-i3-4160-ghz-tray-lga-1150-fan?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,580000,580000
7,Processor Intel Core i3 13100 4 Core 8 Threads 4.50GHz LGA 1700,https://www.tokopedia.com/rakitancom/processor-intel-core-i3-13100-4-core-8-threads-4-50ghz-lga-1700?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,2469000,2469000
8,Intel Core I3 10105 Box 3.7 GHz Processor LGA1200 Comet Lake,https://www.tokopedia.com/sj-com/intel-core-i3-10105-box-3-7-ghz-processor-lga1200-comet-lake?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch%26whid%3D21653&refined=true,1665000,1665000
9,Processor Intel Core i3 10100F 3.6Ghz Up To 4.3Ghz,https://www.tokopedia.com/ithouse/processor-intel-core-i3-10100f-3-6ghz-up-to-4-3ghz?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,2420000,2420000
